54,222,230
231,76,83
70,202,121
64,33,125
142,177,43
70,59,162
193,203,76
92,89,194
144,197,85
115,43,140
106,196,100
174,64,160
67,146,41
218,107,202
50,107,20
202,129,230
161,160,35
91,127,238
195,157,39
155,122,229
107,135,28
155,87,184
185,200,95
127,39,125
78,200,140
178,28,102
78,217,180
180,30,81
131,198,125
167,50,132
91,150,61
223,107,185
153,198,109
75,35,103
234,170,67
34,56,125
212,129,34
75,150,235
195,93,34
93,122,213
150,166,63
76,72,155
212,192,96
129,105,187
187,207,122
113,30,96
70,136,68
236,153,238
37,87,25
231,82,139
55,148,96
212,83,149
55,168,134
213,62,88
75,157,222
221,89,65
67,97,167
226,167,85
175,142,230
147,132,38
136,146,222
215,131,61
130,81,150
151,161,81
177,113,190
83,94,15
199,154,226
115,125,47
226,144,208
165,112,31
166,85,148
202,189,113
114,22,78
194,153,87
157,64,115
125,96,31
224,127,177
141,74,24
226,118,154
113,42,19
226,78,117
222,145,91
111,25,61
229,142,112
114,24,46
213,112,71
163,58,98
156,51,20
224,115,133
123,21,18
233,117,100
132,34,42
231,104,112
159,49,42
210,108,105
168,50,80
175,88,64
163,70,86
199,63,64
178,57,70
